cats	Index	Forms	Notes_id	Dutch	English	Indonesian	v1894	v1904/1911	v1931	Swadesh	Swadesh_orig	remark	nt_form	nt_eng	nt_idn	nt_pos	nt_comment	nt_pc	Concepticon_Gloss	Concepticon_ID	concept_url
the Nias 1911 list	56	ate	NA	lever	liver	hati	30	32	47	TRUE									LIVER	1224	https://concepticon.clld.org/parameters/1224
the Nias 1911 list	57	awoêhoe	NA	gal	bile	empedu	-	29	48	FALSE									BILE	1780	https://concepticon.clld.org/parameters/1780
the Nias 1911 list	61	foesô	NA	navel	navel	pusat	32	34	52	FALSE									NAVEL	1838	https://concepticon.clld.org/parameters/1838
the Nias 1911 list	62	foesô	NA	navelstreng	umbilical cord	tali pusat	33	35	53	FALSE		ocr error as tall pusat							UMBILICAL CORD	2663	https://concepticon.clld.org/parameters/2663
the Nias 1911 list	63	hoeloe	NA	rug	back	belakang, punggung	39	40	54	TRUE									BACK	1291	https://concepticon.clld.org/parameters/1291
the Nias 1911 list	66	haroeharoe	NA	schouderblad	shoulderblade	tulang belikat	43	44	-	FALSE									SHOULDERBLADE	172	https://concepticon.clld.org/parameters/172
the Nias 1911 list	69	taro'o	NA	achterste	posterior, buttocks	pantat	44	45	-	FALSE									BUTTOCKS	834	https://concepticon.clld.org/parameters/834
the Nias 1911 list	69	tojo	NA	achterste	posterior, buttocks	pantat	44	45	-	FALSE									BUTTOCKS	834	https://concepticon.clld.org/parameters/834
the Nias 1911 list	70	tojo	NA	stuit	tailbone, coccyx	tulang tungging, tulang ekor	46	47	57	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA
the Nias 1911 list	70	bôrô gi'o	NA	stuit	tailbone, coccyx	tulang tungging, tulang ekor	46	47	57	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA
the Nias 1911 list	72	fahôtoe	3	poepen	to defecate	berak	172	176	60	FALSE							pronoun		SHIT (DEFECATE)	676	https://concepticon.clld.org/parameters/676
the Nias 1911 list	73	hôtoe	NA	poep	faeces	tahi	173	177	61	FALSE									FAECES (EXCREMENT)	675	https://concepticon.clld.org/parameters/675
the Nias 1911 list	75	fa'angi	NA	wind laten	to fart	berkentut	174	179	63	FALSE									FART	1159	https://concepticon.clld.org/parameters/1159
the Nias 1911 list	75	fahôtoe	NA	wind laten	to fart	berkentut	174	179	63	FALSE									FART	1159	https://concepticon.clld.org/parameters/1159
the Nias 1911 list	76	abôoe	NA	stinken	to stink, to smell	berbau busuk	-	178	64	FALSE									SMELL (STINK)	1587	https://concepticon.clld.org/parameters/1587
the Nias 1911 list	76	ahali	NA	stinken	to stink, to smell	berbau busuk	-	178	64	FALSE									SMELL (STINK)	1587	https://concepticon.clld.org/parameters/1587
the Nias 1911 list	77	ba'i	NA	penis	penis	batang pelir	47	48	65	FALSE									PENIS	1222	https://concepticon.clld.org/parameters/1222
the Nias 1911 list	78	to'a	NA	vagina	vagina	puki, liang peranakan	48	49	67	FALSE									VAGINA	1836	https://concepticon.clld.org/parameters/1836
the Nias 1911 list	82	kiô	NA	pissen	to urinate	kencing (k.k.)	170	174	69	FALSE									PISS	592	https://concepticon.clld.org/parameters/592
the Nias 1911 list	83	iô	NA	pis	piss, urine	air kencing (k.b.)	171	175	70	FALSE									URINE	1142	https://concepticon.clld.org/parameters/1142
the Nias 1911 list	84	tôla	NA	been	leg	kaki	49	50	-	TRUE		typo from leki							LEG	1297	https://concepticon.clld.org/parameters/1297
the Nias 1911 list	86	ahe	NA	voet	foot	kaki	54	55	55	TRUE		typo from leki							FOOT	1301	https://concepticon.clld.org/parameters/1301
the Nias 1911 list	88	boe'oe gawono	NA	enkel	ankle	buku kaki, pergelangan kaki	55	56	73	FALSE									ANKLE	803	https://concepticon.clld.org/parameters/803
the Nias 1911 list	90	sola	NA	dij	thigh	paha	50	51	75	FALSE									UPPER LEG (THIGH)	471	https://concepticon.clld.org/parameters/471
the Nias 1911 list	90	toendoehe lôwilôwi	NA	dij	thigh	paha	50	51	75	FALSE									UPPER LEG (THIGH)	471	https://concepticon.clld.org/parameters/471
the Nias 1911 list	91	balô doehi	NA	knie	knee	lutut	51	52	76	TRUE									KNEE	1371	https://concepticon.clld.org/parameters/1371
the Nias 1911 list	93	bisi	NA	knit	calf	betis	52	53	78	FALSE									CALF OF LEG	498	https://concepticon.clld.org/parameters/498
the Nias 1911 list	93	adoela mbisi	NA	knit	calf	betis	52	53	78	FALSE									CALF OF LEG	498	https://concepticon.clld.org/parameters/498
the Nias 1911 list	94	angango mbisi	NA	scheen	shin	tulang kering	53	54	79	FALSE									SHIN	186	https://concepticon.clld.org/parameters/186
the Nias 1911 list	95	ta'io	NA	arm	arm	lengan	40	41	-	FALSE									ARM	1673	https://concepticon.clld.org/parameters/1673
the Nias 1911 list	97	tanga	NA	hand	hand	tangan	56	57	-	TRUE									HAND	1277	https://concepticon.clld.org/parameters/1277
the Nias 1911 list	99	alisi	NA	oksel	armpit	ketiak	42	43	82	FALSE									ARMPIT	1886	https://concepticon.clld.org/parameters/1886
the Nias 1911 list	100	talinga zi'oe	NA	elleboog	elbow	siku	41	42	83	FALSE									ELBOW	981	https://concepticon.clld.org/parameters/981
the Nias 1911 list	102	laloe'a danga	NA	handpalm	palm of the hand	telapak tangan	57	58	85	FALSE									PALM OF HAND	1183	https://concepticon.clld.org/parameters/1183
the Nias 1911 list	105	toetoeroe	NA	vingers	fingers	jari tangan (jamak)	58	59	-	FALSE									FINGER	1303	https://concepticon.clld.org/parameters/1303
the Nias 1911 list	105	toeroe	NA	vingers	fingers	jari tangan (jamak)	58	59	-	FALSE									FINGER	1303	https://concepticon.clld.org/parameters/1303
the Nias 1911 list	107	sa'a	NA	nagel	(finger)nail	kuku	59	60	89	FALSE									FINGERNAIL OR TOENAIL	1896	https://concepticon.clld.org/parameters/1896
the Nias 1911 list	108	toeroe seboea	NA	duim	thumb	ibu jari	60	61	90	FALSE									THUMB	1781	https://concepticon.clld.org/parameters/1781
the Nias 1911 list	109	toeroe loeo	NA	wijsvinger	index finger	telunjuk	61	62	91	FALSE									FOREFINGER	577	https://concepticon.clld.org/parameters/577
the Nias 1911 list	110	toeroe laŵa	NA	middelvinger	middle finger	jari tengah	62	63	92	FALSE									MIDDLE FINGER	3387	https://concepticon.clld.org/parameters/3387
the Nias 1911 list	111	toeroe mani	NA	ringvinger	ring finger	jari manis	63	64	93	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA
the Nias 1911 list	112	toeroe si achi	NA	pink	little finger	kelingking	64	65	94	FALSE									LITTLE FINGER	2774	https://concepticon.clld.org/parameters/2774
the Nias 1911 list	115	tôla	NA	been (gebeente)	bone	tulang	65	66	97	TRUE									BONE	1394	https://concepticon.clld.org/parameters/1394
the Nias 1911 list	116	do	NA	bloed	blood	darah	66	67	98	TRUE									BLOOD	946	https://concepticon.clld.org/parameters/946
the Nias 1911 list	117	nagole	NA	vlees op het lichaam	flesh	daging	67	68	99	FALSE									FLESH OR MEAT	2615	https://concepticon.clld.org/parameters/2615
the Nias 1911 list	118	oeo	NA	pees	tendon	urat	68	69	100	FALSE									TENDON	1137	https://concepticon.clld.org/parameters/1137
the Nias 1911 list	121	oeli	NA	huid	skin	kulit	70	71	101	TRUE									SKIN	763	https://concepticon.clld.org/parameters/763
the Nias 1911 list	123	boe	NA	haar op het lichaam (v. dieren)	body hair (animal)	bulu (binatang)	71	72	-	FALSE									FUR	580	https://concepticon.clld.org/parameters/580
the Nias 1911 list	124	bôbôi	NA	zweet	sweat	keringat	73	74	103	FALSE									SWEAT (SUBSTANCE)	125	https://concepticon.clld.org/parameters/125
the Nias 1911 list	125	ilo	NA	speeksel	saliva	ludah	74	75	104	FALSE									SALIVA	1503	https://concepticon.clld.org/parameters/1503
the Nias 1911 list	126	bôrô keha	NA	fluim	phlegm	dahak	-	76	105	FALSE									PHLEGM	3061	https://concepticon.clld.org/parameters/3061
the Nias 1911 list	127	mohanoehanoe	NA	ademen	to breath	bernapas	115	116	106	FALSE									BREATH OR BREATHE	3183	https://concepticon.clld.org/parameters/3183
the Nias 1911 list	127	hoemanoehanoe	NA	ademen	to breath	bernapas	115	116	106	FALSE									BREATH OR BREATHE	3183	https://concepticon.clld.org/parameters/3183
the Nias 1911 list	128	manga	NA	eten	to eat	makan	116	117	107	TRUE	eat								EAT	1336	https://concepticon.clld.org/parameters/1336
the Nias 1911 list	128	a	NA	eten	to eat	makan	116	117	107	TRUE	eat								EAT	1336	https://concepticon.clld.org/parameters/1336
the Nias 1911 list	129	olofo	NA	hongerig	hungry	lapar	734	752	108	FALSE									BE HUNGRY	1533	https://concepticon.clld.org/parameters/1533
the Nias 1911 list	130	badoe	4	drinken	to drink	minum	117	118	109	TRUE	drink		badoe						DRINK	1401	https://concepticon.clld.org/parameters/1401
the Nias 1911 list	130	mamadoe	4	drinken	to drink	minum	117	118	109	TRUE	drink		mamadoe						DRINK	1401	https://concepticon.clld.org/parameters/1401
the Nias 1911 list	130	moeminoe	4	drinken	to drink	minum	117	118	109	TRUE	drink		moeminoe						DRINK	1401	https://concepticon.clld.org/parameters/1401
the Nias 1911 list	131	maboe	NA	dronken	drunk	mabuk	-	474	367	FALSE									DRUNK	1463	https://concepticon.clld.org/parameters/1463
the Nias 1911 list	132	owôchi dôdô	NA	dorstig	thirsty	haus	736	754	110	FALSE									THIRSTY	847	https://concepticon.clld.org/parameters/847
the Nias 1911 list	133	aboeso	NA	verzadigd	satisfied	kenyang, puas	735	753	111	FALSE									FULL	1429	https://concepticon.clld.org/parameters/1429
the Nias 1911 list	134	aboeso	NA	zat, verzadigd	replete, satisfied	kenyang, puas	-	119	-	FALSE									SATIATED	106	https://concepticon.clld.org/parameters/106
the Nias 1911 list	137	tôlô	NA	slikken	to swallow	telan	118	120	-	FALSE									SWALLOW	897	https://concepticon.clld.org/parameters/897
the Nias 1911 list	137	manôlô	NA	slikken	to swallow	telan	118	120	-	FALSE									SWALLOW	897	https://concepticon.clld.org/parameters/897
the Nias 1911 list	138	môrô	NA	slapen	to sleep	tidur	119	121	114	TRUE	sleep								SLEEP	1585	https://concepticon.clld.org/parameters/1585
the Nias 1911 list	139/140	fabgifi	NA	dromen, droom <unsp.>	dream	mimpi	120	122	-	FALSE									DREAMING OR DREAM	2455	https://concepticon.clld.org/parameters/2455
the Nias 1911 list	139/140	mangifi	NA	dromen, droom <unsp.>	dream	mimpi	120	122	-	FALSE									DREAMING OR DREAM	2455	https://concepticon.clld.org/parameters/2455
the Nias 1911 list	144	soemindro	NA	staan	to stand	berdiri	121	123	120	TRUE	stand								STAND	1442	https://concepticon.clld.org/parameters/1442
the Nias 1911 list	145	foeloi	NA	lopen	to walk	berjalan	122	124	121	TRUE	walk								WALK	1443	https://concepticon.clld.org/parameters/1443
the Nias 1911 list	145	fagohi	NA	lopen	to walk	berjalan	122	124	121	TRUE	walk								WALK	1443	https://concepticon.clld.org/parameters/1443
the Nias 1911 list	146	terigawa	NA	liggen op de rug	to lie supine	telentang	124	126	123	FALSE									LIE (REST)	1411	https://concepticon.clld.org/parameters/1411
the Nias 1911 list	147	telôgoe	5	liggen op de buik	to lie prone	tiarap	125	127	124	FALSE							as a child does		LIE DOWN	215	https://concepticon.clld.org/parameters/215
the Nias 1911 list	147	mamalôgoe	5	liggen op de buik	to lie prone	tiarap	125	127	124	FALSE							as a child does		LIE DOWN	215	https://concepticon.clld.org/parameters/215
the Nias 1911 list	148	molea	6	liggen (in het algemeen)	to lie	berbaring	123	125	122	TRUE	lie		molea						LIE DOWN	215	https://concepticon.clld.org/parameters/215
the Nias 1911 list	148	tolea	6	liggen (in het algemeen)	to lie	berbaring	123	125	122	TRUE	lie		tolea						LIE DOWN	215	https://concepticon.clld.org/parameters/215
the Nias 1911 list	148	moro	6	liggen (in het algemeen)	to lie	berbaring	123	125	122	TRUE	lie		moro						LIE DOWN	215	https://concepticon.clld.org/parameters/215
the Nias 1911 list	149	moedadao	NA	zitten (op een stoel, bank etc.)	to sit (on a chair)	duduk (di atas kursi)	126	128	125	TRUE	sit								SIT DOWN	1649	https://concepticon.clld.org/parameters/1649
the Nias 1911 list	149	toemataro	NA	zitten (op een stoel, bank etc.)	to sit (on a chair)	duduk (di atas kursi)	126	128	125	TRUE	sit								SIT DOWN	1649	https://concepticon.clld.org/parameters/1649
the Nias 1911 list	150	mataro	NA	zitten (met de benen kruiselings)	to sit (with the legs crossed)	bersila	127	129	126	TRUE	sit								NA	NA	https://concepticon.clld.org/parameters/NA
the Nias 1911 list	151	toehi mbanoea	7	zitten (met de beide benen op zij en gebogen)	to sit (with the knees bent to one side)	bertimpuh	128	130	127	TRUE	sit		toehi mbanoea				transitive or active		NA	NA	https://concepticon.clld.org/parameters/NA
the Nias 1911 list	151	manoehi banoea	7	zitten (met de beide benen op zij en gebogen)	to sit (with the knees bent to one side)	bertimpuh	128	130	127	TRUE	sit		manoehi banoea				intransitive		NA	NA	https://concepticon.clld.org/parameters/NA
the Nias 1911 list	153	molangè	NA	zwemmen	to swim	berenang	131	133	129	TRUE	swim, to								SWIM	1439	https://concepticon.clld.org/parameters/1439
the Nias 1911 list	154	mandri	3	baden <intr.>	to take a bath	mandi	169	173	130	FALSE							pronoun		WASH	1453	https://concepticon.clld.org/parameters/1453
the Nias 1911 list	156	hona Ii	NA	stotteren	to stammer	gagap	133	135	132	FALSE									STUTTER	1866	https://concepticon.clld.org/parameters/1866
the Nias 1911 list	156	mangohona Ii	NA	stotteren	to stammer	gagap	133	135	132	FALSE									STUTTER	1866	https://concepticon.clld.org/parameters/1866
the Nias 1911 list	157	fangôngô	NA	brouwen	to speak with a burr	berbicara dengan artikulasi uvular	134	136	-	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA
the Nias 1911 list	158	li	NA	stem	voice	suara	135	137	133	FALSE									VOICE	1363	https://concepticon.clld.org/parameters/1363
the Nias 1911 list	159	afao	NA	schor(hees)	hoarse	parau	-	716	134	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA
the Nias 1911 list	160	koemira'ira	NA	schreeuwen	to shout	berteriak	136	138	-	FALSE									SHOUT	715	https://concepticon.clld.org/parameters/715
the Nias 1911 list	161	ma'iki	8	lachen	to laugh	tertawa	137	139	135	TRUE	laugh		ma'iki						LAUGH	1355	https://concepticon.clld.org/parameters/1355
the Nias 1911 list	161	ai'ki	8	lachen	to laugh	tertawa	137	139	135	TRUE	laugh		ai'ki						LAUGH	1355	https://concepticon.clld.org/parameters/1355
the Nias 1911 list	161	a'eke	8	lachen	to laugh	tertawa	137	139	135	TRUE	laugh		a'eke						LAUGH	1355	https://concepticon.clld.org/parameters/1355
the Nias 1911 list	163	moe'ao	5	schreien <intr.>	to weep	menangis	138	140	137	TRUE	cry						as a child does		CRY	1839	https://concepticon.clld.org/parameters/1839
the Nias 1911 list	163	moe'eoëo	5	schreien <intr.>	to weep	menangis	138	140	137	TRUE	cry						as a child does		CRY	1839	https://concepticon.clld.org/parameters/1839
the Nias 1911 list	165	mengingi	9	glimlachen	to smile	tersenyum	139	141	139	FALSE			mengingi				prefix		SMILE	1451	https://concepticon.clld.org/parameters/1451
the Nias 1911 list	165	fengingi	9	glimlachen	to smile	tersenyum	139	141	139	FALSE			fengingi				prefix		SMILE	1451	https://concepticon.clld.org/parameters/1451
the Nias 1911 list	165	mamengingi	9	glimlachen	to smile	tersenyum	139	141	139	FALSE			mamengingi				prefix		SMILE	1451	https://concepticon.clld.org/parameters/1451
the Nias 1911 list	166	hasoego	10	zuchten	to sigh	berkeluh kesah, mengeluh	140	142	140	FALSE							prefix		NA	NA	https://concepticon.clld.org/parameters/NA
the Nias 1911 list	166	mangahasoego	10	zuchten	to sigh	berkeluh kesah, mengeluh	140	142	140	FALSE							prefix		NA	NA	https://concepticon.clld.org/parameters/NA
the Nias 1911 list	167	diloi	NA	spugen, spuwen	to spit	meludah	141	143	141	FALSE									SPIT	1440	https://concepticon.clld.org/parameters/1440
the Nias 1911 list	167	mangendoilo	NA	spugen, spuwen	to spit	meludah	141	143	141	FALSE									SPIT	1440	https://concepticon.clld.org/parameters/1440
the Nias 1911 list	169	bahō	5	niezen	to sneeze	bersin	142	144	143	FALSE							as a child does		SNEEZE	1621	https://concepticon.clld.org/parameters/1621
the Nias 1911 list	170	mo'eha	NA	hoesten	to cough	batuk	143	145	144	FALSE									COUGH	879	https://concepticon.clld.org/parameters/879
the Nias 1911 list	170	mokehakeha	NA	hoesten	to cough	batuk	143	145	144	FALSE									COUGH	879	https://concepticon.clld.org/parameters/879
the Nias 1911 list	172	zoeramô	NA	hik	hiccups	tersedu	-	146	-	FALSE									HICCOUGH	162	https://concepticon.clld.org/parameters/162
the Nias 1911 list	172	ezoeramô	NA	hik	hiccups	tersedu	-	146	-	FALSE									HICCOUGH	162	https://concepticon.clld.org/parameters/162
the Nias 1911 list	173	adô'ô	NA	zich verslikken	to choke	tersedak	-	147	146	FALSE									CHOKE	129	https://concepticon.clld.org/parameters/129
the Nias 1911 list	174	fazawa	11	boer (oprisping)	belch	sendawa	-	148	147	FALSE		typo in the original as serdawa; should be sendawa	fazawa						BELCH	2245	https://concepticon.clld.org/parameters/2245
the Nias 1911 list	174	mamazawa	11	boer (oprisping)	belch	sendawa	-	148	147	FALSE		typo in the original as serdawa; should be sendawa	mamazawa						BELCH	2245	https://concepticon.clld.org/parameters/2245
the Nias 1911 list	174	fasindro	11	boer (oprisping)	belch	sendawa	-	148	147	FALSE		typo in the original as serdawa; should be sendawa	fasindro						BELCH	2245	https://concepticon.clld.org/parameters/2245
the Nias 1911 list	174	mam	11	boer (oprisping)	belch	sendawa	-	148	147	FALSE		typo in the original as serdawa; should be sendawa	mam						BELCH	2245	https://concepticon.clld.org/parameters/2245
the Nias 1911 list	176	tongo	12	gapen	to yawn	menguap	144	149	149	FALSE			tongo						YAWN	1028	https://concepticon.clld.org/parameters/1028
the Nias 1911 list	176	mamongo	12	gapen	to yawn	menguap	144	149	149	FALSE			mamongo						YAWN	1028	https://concepticon.clld.org/parameters/1028
the Nias 1911 list	176	meha	12	gapen	to yawn	menguap	144	149	149	FALSE			meha						YAWN	1028	https://concepticon.clld.org/parameters/1028
the Nias 1911 list	177	fahogo	10	knikken	to nod	mengangguk	145	150	-	FALSE							prefix		NA	NA	https://concepticon.clld.org/parameters/NA
the Nias 1911 list	177	mamahogo	10	knikken	to nod	mengangguk	145	150	-	FALSE							prefix		NA	NA	https://concepticon.clld.org/parameters/NA
the Nias 1911 list	182	aoeri	13	leven (levend)	to live (alive)	hidup	163	168	154	TRUE	live		aoeri				verbal		BE ALIVE	1422	https://concepticon.clld.org/parameters/1422
the Nias 1911 list	182	fa'aoeri	13	leven (levend)	to live (alive)	hidup	163	168	154	TRUE	live		fa'aoeri				substantive		BE ALIVE	1422	https://concepticon.clld.org/parameters/1422
the Nias 1911 list	183	aloei	14	sterven	to die	meninggal dunia	161	166	155	TRUE	die		aloei						DIE	1494	https://concepticon.clld.org/parameters/1494
the Nias 1911 list	183	mangaloei	14	sterven	to die	meninggal dunia	161	166	155	TRUE	die		mangaloei						DIE	1494	https://concepticon.clld.org/parameters/1494
the Nias 1911 list	183	gohi	14	sterven	to die	meninggal dunia	161	166	155	TRUE	die		gohi						DIE	1494	https://concepticon.clld.org/parameters/1494
the Nias 1911 list	183	molohi	14	sterven	to die	meninggal dunia	161	166	155	TRUE	die		molohi						DIE	1494	https://concepticon.clld.org/parameters/1494
the Nias 1911 list	184	fa'amate	NA	dood (zelfstnw.)	death	kematian	164	169	-	FALSE									DEATH	910	https://concepticon.clld.org/parameters/910
the Nias 1911 list	188	si mate	NA	lijk	corpse	mayat	162	167	-	FALSE									CORPSE	767	https://concepticon.clld.org/parameters/767
the Nias 1911 list	188	boto zi mate	NA	lijk	corpse	mayat	162	167	-	FALSE									CORPSE	767	https://concepticon.clld.org/parameters/767
the Nias 1911 list	191	lewatô	NA	graf	grave	kuburan	244	242	160	FALSE									GRAVE	1773	https://concepticon.clld.org/parameters/1773
the Nias 1911 list	192	boenoe	NA	doden	to kill	membunuh	166	170	161	TRUE	kill								KILL	1417	https://concepticon.clld.org/parameters/1417
the Nias 1911 list	192	mamoenoe	NA	doden	to kill	membunuh	166	170	161	TRUE	kill								KILL	1417	https://concepticon.clld.org/parameters/1417
the Nias 1911 list	193	tema (gondrôita) manema	NA	erven	to inherit	mewarisi	167	171	-	FALSE									INHERIT	3664	https://concepticon.clld.org/parameters/3664
the Nias 1911 list	194	ondrôita	NA	erfenis	inheritance	warisan	168	172	-	FALSE									NA	NA	https://concepticon.clld.org/parameters/NA
